Kanji°,WaniKani Level°,JLPT°,Joyo Grade¤,Main Freq Rank°,Main Freq Group°,Wiki Freq (2023)†,News Freq (2023)†
付,WaniKani::L07,JLPT::N3,JoyoGrade::XX,322,Freq::F1,216,181
施,WaniKani::L23,JLPT::N1,JoyoGrade::XX,323,Freq::F1,323,337
切,WaniKani::L03,JLPT::N4,JoyoGrade::XX,324,Freq::F1,439,348
由,WaniKani::L07,JLPT::N3,JoyoGrade::XX,325,Freq::F1,311,411
説,WaniKani::L17,JLPT::N3,JoyoGrade::XX,326,Freq::F1,289,381
転,WaniKani::L10,JLPT::N4,JoyoGrade::XX,327,Freq::F1,286,227
食,WaniKani::L06,JLPT::N5,JoyoGrade::XX,328,Freq::F1,420,373
比,WaniKani::L09,JLPT::N2,JoyoGrade::XX,329,Freq::F1,571,593
難,WaniKani::L20,JLPT::N3,JoyoGrade::XX,330,Freq::F1,668,378
防,WaniKani::L20,JLPT::N2,JoyoGrade::XX,331,Freq::F1,398,392
補,WaniKani::L25,JLPT::N2,JoyoGrade::XX,332,Freq::F1,577,300
車,WaniKani::L04,JLPT::N5,JoyoGrade::XX,333,Freq::F1,80,130
優,WaniKani::L23,JLPT::N3,JoyoGrade::XX,334,Freq::F1,187,177
夫,WaniKani::L15,JLPT::N3,JoyoGrade::XX,335,Freq::F1,407,576
研,WaniKani::L08,JLPT::N4,JoyoGrade::XX,336,Freq::F1,242,477
収,WaniKani::L23,JLPT::N3,JoyoGrade::XX,337,Freq::F1,239,354
断,WaniKani::L21,JLPT::N3,JoyoGrade::XX,338,Freq::F1,578,291
井,WaniKani::L14,JLPT::N1,JoyoGrade::XX,339,Freq::F1,210,305
何,WaniKani::L05,JLPT::N5,JoyoGrade::XX,340,Freq::F1,689,788
南,WaniKani::L06,JLPT::N5,JoyoGrade::XX,341,Freq::F1,165,167
石,WaniKani::L04,JLPT::N3,JoyoGrade::XX,342,Freq::F1,250,343
足,WaniKani::L04,JLPT::N4,JoyoGrade::XX,343,Freq::F1,490,544
違,WaniKani::L24,JLPT::N3,JoyoGrade::XX,344,Freq::F1,725,362
消,WaniKani::L12,JLPT::N3,JoyoGrade::XX,345,Freq::F1,547,403
境,WaniKani::L24,JLPT::N2,JoyoGrade::XX,346,Freq::F1,586,681
神,WaniKani::L11,JLPT::N3,JoyoGrade::XX,347,Freq::F1,119,207
番,WaniKani::L08,JLPT::N3,JoyoGrade::XX,348,Freq::F1,133,274
規,WaniKani::L24,JLPT::N3,JoyoGrade::XX,349,Freq::F1,460,399
術,WaniKani::L15,JLPT::N3,JoyoGrade::XX,350,Freq::F1,245,469
護,WaniKani::L23,JLPT::N1,JoyoGrade::XX,351,Freq::F1,468,454
展,WaniKani::L24,JLPT::N1,JoyoGrade::XX,352,Freq::F1,478,607
態,WaniKani::L22,JLPT::N1,JoyoGrade::XX,353,Freq::F1,459,423
導,WaniKani::L23,JLPT::N2,JoyoGrade::XX,354,Freq::F1,465,508
鮮,WaniKani::L25,JLPT::N1,JoyoGrade::XX,355,Freq::F1,924,524
備,WaniKani::L23,JLPT::N3,JoyoGrade::XX,356,Freq::F1,309,468
宅,WaniKani::L23,JLPT::N3,JoyoGrade::XX,357,Freq::F1,769,421
害,WaniKani::L20,JLPT::N3,JoyoGrade::XX,358,Freq::F1,449,164
配,WaniKani::L10,JLPT::N3,JoyoGrade::XX,359,Freq::F1,315,458
副,WaniKani::L22,JLPT::N2,JoyoGrade::XX,360,Freq::F1,818,685
算,WaniKani::L10,JLPT::N2,JoyoGrade::XX,361,Freq::F1,711,533
視,WaniKani::L24,JLPT::N1,JoyoGrade::XX,362,Freq::F1,592,327
条,WaniKani::L21,JLPT::N1,JoyoGrade::XX,363,Freq::F1,421,560
幹,WaniKani::L23,JLPT::N1,JoyoGrade::XX,364,Freq::F1,914,450
独,WaniKani::L26,JLPT::N1,JoyoGrade::XX,365,Freq::F1,469,528
警,WaniKani::L17,JLPT::N3,JoyoGrade::XX,366,Freq::F1,525,94
宮,WaniKani::L22,JLPT::N1,JoyoGrade::XX,367,Freq::F1,273,266
究,WaniKani::L08,JLPT::N4,JoyoGrade::XX,368,Freq::F1,268,506
育,WaniKani::L11,JLPT::N3,JoyoGrade::XX,369,Freq::F1,296,521
席,WaniKani::L17,JLPT::N3,JoyoGrade::XX,370,Freq::F1,751,416
輸,WaniKani::L24,JLPT::N2,JoyoGrade::XX,371,Freq::F1,782,678
訪,WaniKani::L27,JLPT::N3,JoyoGrade::XX,372,Freq::F1,848,697
楽,WaniKani::L08,JLPT::N4,JoyoGrade::XX,373,Freq::F1,199,442
起,WaniKani::L10,JLPT::N4,JoyoGrade::XX,374,Freq::F1,361,325
万,WaniKani::L03,JLPT::N5,JoyoGrade::XX,375,Freq::F1,353,128
着,WaniKani::L12,JLPT::N4,JoyoGrade::XX,376,Freq::F1,347,335
乗,WaniKani::L09,JLPT::N3,JoyoGrade::XX,377,Freq::F1,364,256
店,WaniKani::L06,JLPT::N4,JoyoGrade::XX,378,Freq::F1,224,286
述,WaniKani::L24,JLPT::N2,JoyoGrade::XX,379,Freq::F1,529,326
残,WaniKani::L14,JLPT::N3,JoyoGrade::XX,380,Freq::F1,508,441
想,WaniKani::L13,JLPT::N3,JoyoGrade::XX,381,Freq::F1,565,636
線,WaniKani::L10,JLPT::N2,JoyoGrade::XX,382,Freq::F1,75,121
率,WaniKani::L20,JLPT::N1,JoyoGrade::XX,383,Freq::F1,526,447
病,WaniKani::L10,JLPT::N4,JoyoGrade::XX,384,Freq::F1,531,358
農,WaniKani::L10,JLPT::N2,JoyoGrade::XX,385,Freq::F1,640,762
州,WaniKani::L06,JLPT::N2,JoyoGrade::XX,386,Freq::F1,208,179
武,WaniKani::L24,JLPT::N2,JoyoGrade::XX,387,Freq::F1,300,385
声,WaniKani::L05,JLPT::N3,JoyoGrade::XX,388,Freq::F1,345,475
質,WaniKani::L24,JLPT::N4,JoyoGrade::XX,389,Freq::F1,515,565
念,WaniKani::L14,JLPT::N3,JoyoGrade::XX,390,Freq::F1,451,410
待,WaniKani::L12,JLPT::N4,JoyoGrade::XX,391,Freq::F1,845,665
試,WaniKani::L09,JLPT::N4,JoyoGrade::XX,392,Freq::F1,334,154
族,WaniKani::L12,JLPT::N4,JoyoGrade::XX,393,Freq::F1,348,530
象,WaniKani::L07,JLPT::N2,JoyoGrade::XX,394,Freq::F1,605,171
銀,WaniKani::L13,JLPT::N4,JoyoGrade::XX,395,Freq::F1,580,494
域,WaniKani::L22,JLPT::N2,JoyoGrade::XX,396,Freq::F1,299,396
助,WaniKani::L08,JLPT::N3,JoyoGrade::XX,397,Freq::F1,467,583
労,WaniKani::L11,JLPT::N3,JoyoGrade::XX,398,Freq::F1,752,566
例,WaniKani::L14,JLPT::N3,JoyoGrade::XX,399,Freq::F1,512,456
衛,WaniKani::L32,JLPT::N1,JoyoGrade::XX,400,Freq::F1,424,572
然,WaniKani::L13,JLPT::N3,JoyoGrade::XX,401,Freq::F1,653,690
早,WaniKani::L04,JLPT::N4,JoyoGrade::XX,402,Freq::F1,652,507
張,WaniKani::L23,JLPT::N1,JoyoGrade::XX,403,Freq::F1,543,578
映,WaniKani::L07,JLPT::N4,JoyoGrade::XX,404,Freq::F1,186,501
限,WaniKani::L25,JLPT::N3,JoyoGrade::XX,405,Freq::F1,382,439
親,WaniKani::L10,JLPT::N4,JoyoGrade::XX,406,Freq::F1,363,382
額,WaniKani::L24,JLPT::N2,JoyoGrade::XX,407,Freq::F1,974,605
監,WaniKani::L29,JLPT::N1,JoyoGrade::XX,408,Freq::F1,292,298
環,WaniKani::L24,JLPT::N1,JoyoGrade::XX,409,Freq::F1,628,803
験,WaniKani::L09,JLPT::N4,JoyoGrade::XX,410,Freq::F1,499,489
追,WaniKani::L11,JLPT::N3,JoyoGrade::XX,411,Freq::F1,501,438
審,WaniKani::L24,JLPT::N1,JoyoGrade::XX,412,Freq::F1,906,490
商,WaniKani::L12,JLPT::N3,JoyoGrade::XX,413,Freq::F1,434,471
葉,WaniKani::L10,JLPT::N3,JoyoGrade::XX,414,Freq::F1,375,405
義,WaniKani::L21,JLPT::N1,JoyoGrade::XX,415,Freq::F1,263,496
伝,WaniKani::L11,JLPT::N3,JoyoGrade::XX,416,Freq::F1,301,229
働,WaniKani::L11,JLPT::N3,JoyoGrade::XX,417,Freq::F1,679,600
形,WaniKani::L05,JLPT::N3,JoyoGrade::XX,418,Freq::F1,174,480
景,WaniKani::L25,JLPT::N3,JoyoGrade::XX,419,Freq::F1,788,1021
落,WaniKani::L10,JLPT::N3,JoyoGrade::XX,420,Freq::F1,463,338
欧,WaniKani::L29,JLPT::N2,JoyoGrade::XX,421,Freq::F1,1045,781
担,WaniKani::L24,JLPT::N2,JoyoGrade::XX,422,Freq::F1,404,527
好,WaniKani::L11,JLPT::N3,JoyoGrade::XX,423,Freq::F1,496,940
退,WaniKani::L27,JLPT::N3,JoyoGrade::XX,424,Freq::F1,359,287
準,WaniKani::L23,JLPT::N2,JoyoGrade::XX,425,Freq::F1,497,448
賞,WaniKani::L13,JLPT::N2,JoyoGrade::XX,426,Freq::F1,207,224
訴,WaniKani::L25,JLPT::N1,JoyoGrade::XX,427,Freq::F1,1032,344
辺,WaniKani::L07,JLPT::N2,JoyoGrade::XX,428,Freq::F1,562,634
造,WaniKani::L26,JLPT::N2,JoyoGrade::XX,429,Freq::F1,257,470
英,WaniKani::L15,JLPT::N4,JoyoGrade::XX,430,Freq::F1,219,492
被,WaniKani::L20,JLPT::N2,JoyoGrade::XX,431,Freq::F1,781,255
株,WaniKani::L24,JLPT::N1,JoyoGrade::XX,432,Freq::F1,392,370
頭,WaniKani::L10,JLPT::N3,JoyoGrade::XX,433,Freq::F1,417,444
技,WaniKani::L15,JLPT::N2,JoyoGrade::XX,434,Freq::F1,298,390
低,WaniKani::L11,JLPT::N2,JoyoGrade::XX,435,Freq::F1,678,556
毎,WaniKani::L05,JLPT::N5,JoyoGrade::XX,436,Freq::F1,660,77
医,WaniKani::L08,JLPT::N4,JoyoGrade::XX,437,Freq::F1,461,580
復,WaniKani::L26,JLPT::N2,JoyoGrade::XX,438,Freq::F1,433,429
仕,WaniKani::L04,JLPT::N4,JoyoGrade::XX,439,Freq::F1,532,816
去,WaniKani::L04,JLPT::N4,JoyoGrade::XX,440,Freq::F1,502,234
姿,WaniKani::L22,JLPT::N1,JoyoGrade::XX,441,Freq::F1,770,847
味,WaniKani::L11,JLPT::N4,JoyoGrade::XX,442,Freq::F1,448,841
負,WaniKani::L09,JLPT::N3,JoyoGrade::XX,443,Freq::F1,671,369
閣,WaniKani::L29,JLPT::N1,JoyoGrade::XX,444,Freq::F1,887,537
韓,WaniKani::L29,JLPT::XX,JoyoGrade::XX,445,Freq::F1,828,561
渡,WaniKani::L25,JLPT::N3,JoyoGrade::XX,446,Freq::F1,519,500
失,WaniKani::L07,JLPT::N3,JoyoGrade::XX,447,Freq::F1,549,478
移,WaniKani::L28,JLPT::N2,JoyoGrade::XX,448,Freq::F1,277,389
差,WaniKani::L24,JLPT::N3,JoyoGrade::XX,449,Freq::F1,587,553
衆,WaniKani::L28,JLPT::N1,JoyoGrade::XX,450,Freq::F1,475,427
個,WaniKani::L20,JLPT::N2,JoyoGrade::XX,451,Freq::F1,561,603
門,WaniKani::L16,JLPT::N2,JoyoGrade::XX,452,Freq::F1,279,498
写,WaniKani::L04,JLPT::N4,JoyoGrade::XX,453,Freq::F1,634,855
評,WaniKani::L22,JLPT::N1,JoyoGrade::XX,454,Freq::F1,518,675
課,WaniKani::L13,JLPT::N2,JoyoGrade::XX,455,Freq::F1,646,708
末,WaniKani::L07,JLPT::N3,JoyoGrade::XX,456,Freq::F1,545,569
守,WaniKani::L16,JLPT::N3,JoyoGrade::XX,457,Freq::F1,537,769
若,WaniKani::L19,JLPT::N3,JoyoGrade::XX,458,Freq::F1,620,745
脳,WaniKani::L18,JLPT::N2,JoyoGrade::XX,459,Freq::F1,1147,992
極,WaniKani::L27,JLPT::N2,JoyoGrade::XX,460,Freq::F1,680,893
種,WaniKani::L18,JLPT::N3,JoyoGrade::XX,461,Freq::F1,306,564
美,WaniKani::L09,JLPT::N3,JoyoGrade::XX,462,Freq::F1,167,574
岡,WaniKani::L21,JLPT::XX,JoyoGrade::XX,463,Freq::F1,230,249
影,WaniKani::L25,JLPT::N1,JoyoGrade::XX,464,Freq::F1,396,363
命,WaniKani::L11,JLPT::N3,JoyoGrade::XX,465,Freq::F1,337,391
含,WaniKani::L25,JLPT::N2,JoyoGrade::XX,466,Freq::F1,513,388
福,WaniKani::L15,JLPT::N3,JoyoGrade::XX,467,Freq::F1,314,279
蔵,WaniKani::L33,JLPT::N2,JoyoGrade::XX,468,Freq::F1,569,1070
量,WaniKani::L24,JLPT::N2,JoyoGrade::XX,469,Freq::F1,476,539
望,WaniKani::L14,JLPT::N3,JoyoGrade::XX,470,Freq::F1,714,592
松,WaniKani::L14,JLPT::N1,JoyoGrade::XX,471,Freq::F1,247,379
非,WaniKani::L17,JLPT::N3,JoyoGrade::XX,472,Freq::F1,604,550
撃,WaniKani::L28,JLPT::N1,JoyoGrade::XX,473,Freq::F1,283,424
佐,WaniKani::L47,JLPT::N1,JoyoGrade::XX,474,Freq::F1,333,511
核,WaniKani::L36,JLPT::N1,JoyoGrade::XX,475,Freq::F1,1108,887
観,WaniKani::L22,JLPT::N3,JoyoGrade::XX,476,Freq::F1,422,366
察,WaniKani::L17,JLPT::N3,JoyoGrade::XX,477,Freq::F1,603,302
整,WaniKani::L13,JLPT::N1,JoyoGrade::XX,478,Freq::F1,676,742
段,WaniKani::L27,JLPT::N3,JoyoGrade::XX,479,Freq::F1,645,724
横,WaniKani::L10,JLPT::N3,JoyoGrade::XX,480,Freq::F1,477,377
融,WaniKani::L31,JLPT::N1,JoyoGrade::XX,481,Freq::F1,1096,805
型,WaniKani::L24,JLPT::N2,JoyoGrade::XX,482,Freq::F1,241,459
白,WaniKani::L02,JLPT::N5,JoyoGrade::XX,483,Freq::F1,351,588
深,WaniKani::L12,JLPT::N3,JoyoGrade::XX,484,Freq::F1,649,674
字,WaniKani::L03,JLPT::N4,JoyoGrade::XX,485,Freq::F1,358,562
答,WaniKani::L08,JLPT::N4,JoyoGrade::XX,486,Freq::F1,1123,818
夜,WaniKani::L06,JLPT::N4,JoyoGrade::XX,487,Freq::F1,554,584
製,WaniKani::L24,JLPT::N1,JoyoGrade::XX,488,Freq::F1,261,367
票,WaniKani::L25,JLPT::N1,JoyoGrade::XX,489,Freq::F1,916,173
況,WaniKani::L25,JLPT::N2,JoyoGrade::XX,490,Freq::F1,830,594
音,WaniKani::L05,JLPT::N4,JoyoGrade::XX,491,Freq::F1,202,677
申,WaniKani::L04,JLPT::N3,JoyoGrade::XX,492,Freq::F1,1052,452
様,WaniKani::L13,JLPT::N3,JoyoGrade::XX,493,Freq::F1,284,386
財,WaniKani::L19,JLPT::N3,JoyoGrade::XX,494,Freq::F1,629,529
港,WaniKani::L12,JLPT::N3,JoyoGrade::XX,495,Freq::F1,493,412
識,WaniKani::L17,JLPT::N3,JoyoGrade::XX,496,Freq::F1,764,772
注,WaniKani::L11,JLPT::N4,JoyoGrade::XX,497,Freq::F1,159,393
呼,WaniKani::L23,JLPT::N3,JoyoGrade::XX,498,Freq::F1,324,546
渉,WaniKani::L17,JLPT::N1,JoyoGrade::XX,499,Freq::F1,1225,875
達,WaniKani::L18,JLPT::N3,JoyoGrade::XX,500,Freq::F1,356,321
良,WaniKani::L11,JLPT::N3,JoyoGrade::XX,501,Freq::F2,379,559
響,WaniKani::L25,JLPT::N1,JoyoGrade::XX,502,Freq::F2,560,401
阪,WaniKani::L16,JLPT::XX,JoyoGrade::XX,503,Freq::F2,350,139
帰,WaniKani::L15,JLPT::N4,JoyoGrade::XX,504,Freq::F2,574,488
針,WaniKani::L26,JLPT::N2,JoyoGrade::XX,505,Freq::F2,1193,629
専,WaniKani::L16,JLPT::N2,JoyoGrade::XX,506,Freq::F2,445,728
推,WaniKani::L34,JLPT::N1,JoyoGrade::XX,507,Freq::F2,677,663
谷,WaniKani::L05,JLPT::N2,JoyoGrade::XX,508,Freq::F2,312,434
古,WaniKani::L03,JLPT::N4,JoyoGrade::XX,509,Freq::F2,254,467
候,WaniKani::L25,JLPT::N3,JoyoGrade::XX,510,Freq::F2,813,341
史,WaniKani::L19,JLPT::N2,JoyoGrade::XX,511,Freq::F2,191,443
天,WaniKani::L02,JLPT::N5,JoyoGrade::XX,512,Freq::F2,198,328
階,WaniKani::L12,JLPT::N2,JoyoGrade::XX,513,Freq::F2,590,622
程,WaniKani::L28,JLPT::N3,JoyoGrade::XX,514,Freq::F2,567,491
満,WaniKani::L25,JLPT::N3,JoyoGrade::XX,515,Freq::F2,655,654
敗,WaniKani::L17,JLPT::N3,JoyoGrade::XX,516,Freq::F2,492,453
管,WaniKani::L24,JLPT::N2,JoyoGrade::XX,517,Freq::F2,369,375
値,WaniKani::L22,JLPT::N3,JoyoGrade::XX,518,Freq::F2,855,613
歌,WaniKani::L10,JLPT::N4,JoyoGrade::XX,519,Freq::F2,222,549
買,WaniKani::L08,JLPT::N4,JoyoGrade::XX,520,Freq::F2,960,541
突,WaniKani::L23,JLPT::N3,JoyoGrade::XX,521,Freq::F2,716,463
兵,WaniKani::L17,JLPT::N2,JoyoGrade::XX,522,Freq::F2,339,601
接,WaniKani::L26,JLPT::N2,JoyoGrade::XX,523,Freq::F2,440,407
請,WaniKani::L29,JLPT::N1,JoyoGrade::XX,524,Freq::F2,953,414
器,WaniKani::L13,JLPT::N1,JoyoGrade::XX,525,Freq::F2,431,689
士,WaniKani::L13,JLPT::N1,JoyoGrade::XX,526,Freq::F2,218,360
光,WaniKani::L05,JLPT::N3,JoyoGrade::XX,527,Freq::F2,293,579
討,WaniKani::L26,JLPT::N1,JoyoGrade::XX,528,Freq::F2,1011,518
路,WaniKani::L10,JLPT::N3,JoyoGrade::XX,529,Freq::F2,217,322
悪,WaniKani::L12,JLPT::N4,JoyoGrade::XX,530,Freq::F2,611,716
科,WaniKani::L06,JLPT::N3,JoyoGrade::XX,531,Freq::F2,188,515
攻,WaniKani::L28,JLPT::N1,JoyoGrade::XX,532,Freq::F2,408,779
崎,WaniKani::L23,JLPT::N1,JoyoGrade::XX,533,Freq::F2,328,314
督,WaniKani::L29,JLPT::N1,JoyoGrade::XX,534,Freq::F2,336,357
授,WaniKani::L26,JLPT::N1,JoyoGrade::XX,535,Freq::F2,517,673
催,WaniKani::L29,JLPT::N1,JoyoGrade::XX,536,Freq::F2,413,218
細,WaniKani::L17,JLPT::N2,JoyoGrade::XX,537,Freq::F2,581,889
効,WaniKani::L25,JLPT::N2,JoyoGrade::XX,538,Freq::F2,706,718
図,WaniKani::L05,JLPT::N4,JoyoGrade::XX,539,Freq::F2,429,756
週,WaniKani::L07,JLPT::N4,JoyoGrade::XX,540,Freq::F2,659,655
積,WaniKani::L29,JLPT::N3,JoyoGrade::XX,541,Freq::F2,681,810
丸,WaniKani::L02,JLPT::N2,JoyoGrade::XX,542,Freq::F2,632,916
他,WaniKani::L04,JLPT::N3,JoyoGrade::XX,543,Freq::F2,234,351
及,WaniKani::L36,JLPT::N1,JoyoGrade::XX,544,Freq::F2,486,532
湾,WaniKani::L37,JLPT::N2,JoyoGrade::XX,545,Freq::F2,839,609
録,WaniKani::L28,JLPT::N2,JoyoGrade::XX,546,Freq::F2,178,293
処,WaniKani::L28,JLPT::N3,JoyoGrade::XX,547,Freq::F2,749,380
省,WaniKani::L21,JLPT::N2,JoyoGrade::XX,548,Freq::F2,533,273
旧,WaniKani::L36,JLPT::N2,JoyoGrade::XX,549,Freq::F2,426,676
室,WaniKani::L06,JLPT::N4,JoyoGrade::XX,550,Freq::F2,393,509
憲,WaniKani::L28,JLPT::N1,JoyoGrade::XX,551,Freq::F2,956,679
太,WaniKani::L03,JLPT::N3,JoyoGrade::XX,552,Freq::F2,231,422
橋,WaniKani::L13,JLPT::N2,JoyoGrade::XX,553,Freq::F2,302,461
歩,WaniKani::L06,JLPT::N4,JoyoGrade::XX,554,Freq::F2,609,902
離,WaniKani::L31,JLPT::N1,JoyoGrade::XX,555,Freq::F2,454,510
岸,WaniKani::L11,JLPT::N2,JoyoGrade::XX,556,Freq::F2,731,715
客,WaniKani::L09,JLPT::N3,JoyoGrade::XX,557,Freq::F2,572,334
風,WaniKani::L07,JLPT::N4,JoyoGrade::XX,558,Freq::F2,385,84
紙,WaniKani::L07,JLPT::N4,JoyoGrade::XX,559,Freq::F2,804,493
激,WaniKani::L26,JLPT::N1,JoyoGrade::XX,560,Freq::F2,870,804
否,WaniKani::L33,JLPT::N3,JoyoGrade::XX,561,Freq::F2,1047,582
周,WaniKani::L14,JLPT::N2,JoyoGrade::XX,562,Freq::F2,373,485
師,WaniKani::L23,JLPT::N3,JoyoGrade::XX,563,Freq::F2,344,598
摘,WaniKani::L36,JLPT::N1,JoyoGrade::XX,564,Freq::F2,1176,661
材,WaniKani::L14,JLPT::N2,JoyoGrade::XX,565,Freq::F2,700,642
登,WaniKani::L12,JLPT::N3,JoyoGrade::XX,566,Freq::F2,214,486
系,WaniKani::L30,JLPT::N1,JoyoGrade::XX,567,Freq::F2,253,602
批,WaniKani::L21,JLPT::N1,JoyoGrade::XX,568,Freq::F2,975,870
郎,WaniKani::L27,JLPT::N1,JoyoGrade::XX,569,Freq::F2,226,497
母,WaniKani::L03,JLPT::N5,JoyoGrade::XX,570,Freq::F2,457,624
易,WaniKani::L19,JLPT::N3,JoyoGrade::XX,571,Freq::F2,949,1298
健,WaniKani::L27,JLPT::N1,JoyoGrade::XX,572,Freq::F2,669,619
黒,WaniKani::L07,JLPT::N4,JoyoGrade::XX,573,Freq::F2,489,819
火,WaniKani::L02,JLPT::N5,JoyoGrade::XX,574,Freq::F2,528,201
戸,WaniKani::L03,JLPT::N2,JoyoGrade::XX,575,Freq::F2,330,371
速,WaniKani::L10,JLPT::N3,JoyoGrade::XX,576,Freq::F2,452,342
存,WaniKani::L16,JLPT::N3,JoyoGrade::XX,577,Freq::F2,313,649
花,WaniKani::L04,JLPT::N4,JoyoGrade::XX,578,Freq::F2,418,732
春,WaniKani::L15,JLPT::N4,JoyoGrade::XX,579,Freq::F2,462,710
飛,WaniKani::L20,JLPT::N3,JoyoGrade::XX,580,Freq::F2,536,581
殺,WaniKani::L13,JLPT::N3,JoyoGrade::XX,581,Freq::F2,409,246
央,WaniKani::L04,JLPT::N2,JoyoGrade::XX,582,Freq::F2,524,413
券,WaniKani::L28,JLPT::N2,JoyoGrade::XX,583,Freq::F2,1015,542
赤,WaniKani::L04,JLPT::N4,JoyoGrade::XX,584,Freq::F2,568,658
号,WaniKani::L04,JLPT::N3,JoyoGrade::XX,585,Freq::F2,108,117
単,WaniKani::L15,JLPT::N3,JoyoGrade::XX,586,Freq::F2,506,801
盟,WaniKani::L36,JLPT::N1,JoyoGrade::XX,587,Freq::F2,759,417
座,WaniKani::L18,JLPT::N3,JoyoGrade::XX,588,Freq::F2,447,740
青,WaniKani::L05,JLPT::N4,JoyoGrade::XX,589,Freq::F2,394,512
破,WaniKani::L35,JLPT::N3,JoyoGrade::XX,590,Freq::F2,566,464
編,WaniKani::L31,JLPT::N2,JoyoGrade::XX,591,Freq::F2,126,725
捜,WaniKani::L25,JLPT::N2,JoyoGrade::XX,592,Freq::F2,1054,368
竹,WaniKani::L04,JLPT::N2,JoyoGrade::XX,593,Freq::F2,723,953
除,WaniKani::L31,JLPT::N3,JoyoGrade::XX,594,Freq::F2,619,435
完,WaniKani::L14,JLPT::N3,JoyoGrade::XX,595,Freq::F2,450,585
降,WaniKani::L22,JLPT::N3,JoyoGrade::XX,596,Freq::F2,357,420
超,WaniKani::L36,JLPT::N2,JoyoGrade::XX,597,Freq::F2,673,571
責,WaniKani::L21,JLPT::N3,JoyoGrade::XX,598,Freq::F2,1104,746
並,WaniKani::L28,JLPT::N2,JoyoGrade::XX,599,Freq::F2,844,775
療,WaniKani::L36,JLPT::N2,JoyoGrade::XX,600,Freq::F2,715,608
従,WaniKani::L26,JLPT::N1,JoyoGrade::XX,601,Freq::F2,582,688
右,WaniKani::L02,JLPT::N5,JoyoGrade::XX,602,Freq::F2,650,971
修,WaniKani::L28,JLPT::N1,JoyoGrade::XX,603,Freq::F2,386,552
捕,WaniKani::L25,JLPT::N3,JoyoGrade::XX,604,Freq::F2,805,197
隊,WaniKani::L28,JLPT::N1,JoyoGrade::XX,605,Freq::F2,223,545
危,WaniKani::L16,JLPT::N3,JoyoGrade::XX,606,Freq::F2,964,821
採,WaniKani::L32,JLPT::N2,JoyoGrade::XX,607,Freq::F2,699,627
織,WaniKani::L27,JLPT::N1,JoyoGrade::XX,608,Freq::F2,612,774
森,WaniKani::L08,JLPT::N2,JoyoGrade::XX,609,Freq::F2,432,639
競,WaniKani::L11,JLPT::N2,JoyoGrade::XX,610,Freq::F2,449,147
拡,WaniKani::L33,JLPT::N1,JoyoGrade::XX,611,Freq::F2,884,777
故,WaniKani::L26,JLPT::N1,JoyoGrade::XX,612,Freq::F2,768,260
館,WaniKani::L13,JLPT::N4,JoyoGrade::XX,613,Freq::F2,200,460
振,WaniKani::L26,JLPT::N1,JoyoGrade::XX,614,Freq::F2,687,657
給,WaniKani::L25,JLPT::N3,JoyoGrade::XX,615,Freq::F2,774,720
屋,WaniKani::L09,JLPT::N4,JoyoGrade::XX,616,Freq::F2,248,406
介,WaniKani::L35,JLPT::N2,JoyoGrade::XX,617,Freq::F2,482,659
読,WaniKani::L10,JLPT::N5,JoyoGrade::XX,618,Freq::F2,654,57
弁,WaniKani::L16,JLPT::N1,JoyoGrade::XX,619,Freq::F2,876,766
根,WaniKani::L12,JLPT::N2,JoyoGrade::XX,620,Freq::F2,556,554
色,WaniKani::L05,JLPT::N4,JoyoGrade::XX,621,Freq::F2,370,1024
友,WaniKani::L03,JLPT::N5,JoyoGrade::XX,622,Freq::F2,551,1025
苦,WaniKani::L09,JLPT::N3,JoyoGrade::XX,623,Freq::F2,1017,944
就,WaniKani::L27,JLPT::N1,JoyoGrade::XX,624,Freq::F2,600,587
迎,WaniKani::L32,JLPT::N3,JoyoGrade::XX,625,Freq::F2,969,840
走,WaniKani::L05,JLPT::N4,JoyoGrade::XX,626,Freq::F2,514,311
販,WaniKani::L24,JLPT::N2,JoyoGrade::XX,627,Freq::F2,666,465
園,WaniKani::L16,JLPT::N3,JoyoGrade::XX,628,Freq::F2,278,353
具,WaniKani::L09,JLPT::N3,JoyoGrade::XX,629,Freq::F2,825,796
左,WaniKani::L02,JLPT::N5,JoyoGrade::XX,630,Freq::F2,657,892
異,WaniKani::L33,JLPT::N1,JoyoGrade::XX,631,Freq::F2,437,698
歴,WaniKani::L19,JLPT::N2,JoyoGrade::XX,632,Freq::F2,209,789
辞,WaniKani::L16,JLPT::N3,JoyoGrade::XX,633,Freq::F2,815,517
将,WaniKani::L36,JLPT::N2,JoyoGrade::XX,634,Freq::F2,483,829
秋,WaniKani::L15,JLPT::N4,JoyoGrade::XX,635,Freq::F2,573,332
因,WaniKani::L17,JLPT::N3,JoyoGrade::XX,636,Freq::F2,835,502
献,WaniKani::L36,JLPT::N1,JoyoGrade::XX,637,Freq::F2,470,1114
厳,WaniKani::L32,JLPT::N1,JoyoGrade::XX,638,Freq::F2,1115,837
馬,WaniKani::L08,JLPT::N3,JoyoGrade::XX,639,Freq::F2,288,99
愛,WaniKani::L17,JLPT::N3,JoyoGrade::XX,640,Freq::F2,304,548
幅,WaniKani::L36,JLPT::N2,JoyoGrade::XX,641,Freq::F2,891,891
休,WaniKani::L04,JLPT::N5,JoyoGrade::XX,642,Freq::F2,748,543
